date_extraction,activite,activite_emprunteur,activite_emprunteur_bus,activite_emprunteur_med,activite_salle_etude,activite_utilisateur_postes_informatiques,activite_utilisateur_wifi,tranches_d_age_1,tranches_d_age_2,roubaisien_ou_non,code_iris_de_roubaix,nom_de_l_iris_a_roubaix,commune_de_residence,inscription_attribut_action,inscription_attribut_zebre,inscription_carte,nombre_d_annees_d_adhesion,type_inscription,nb_venues,nb_venues_postes_informatiques,nb_venues_prets,nb_venues_prets_bus,nb_venues_prets_mediatheque,nb_venues_salle_etude,nb_venues_wifi,sexe,geo_point_2d
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Non Roubaisien,,,HEM,,,Médiathèque,5.0,gratuite,1,0,1,0,1,0,0,Homme,
2020,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,CROIX,,,Médiathèque Plus (35 €),5.0,payante,25,10,20,0,20,0,0,Homme,
2020,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,LILLE,,,Médiathèque,5.0,gratuite,23,19,16,0,16,0,0,Homme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120102,FRESNOY,ROUBAIX,,,Médiathèque,7.0,gratuite,7,0,7,0,7,0,0,Femme,"50.6992192099,3.16111509099"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,CROIX,,,Médiathèque,7.0,gratuite,13,0,13,0,13,0,0,Homme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,65 ans et plus,Non Roubaisien,,,LILLE,,,Médiathèque,14.0,gratuite,6,0,6,0,6,0,0,Femme,
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Roubaisien,595121003,PILE NORD,ROUBAIX,,,Médiathèque,7.0,gratuite,0,0,0,0,0,0,0,Homme,"50.6916022904,3.19347577858"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120601,ESPERANCE CENTRE,ROUBAIX,,,Médiathèque,6.0,gratuite,0,0,0,0,0,0,0,Femme,"50.6913285696,3.17220444227"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595121001,PILE EST,ROUBAIX,,,Médiathèque,6.0,gratuite,0,0,0,0,0,0,0,Homme,"50.6877901549,3.19586939419"
2020,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120504,TRICHON,ROUBAIX,,,Médiathèque,6.0,gratuite,26,1,26,0,26,0,0,Femme,"50.6899026291,3.16585093674"
2020,prêt,Emprunteur,Emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120703,EDOUARD VAILLANT,ROUBAIX,,,Médiathèque,6.0,gratuite,7,0,7,5,2,0,0,Homme,"50.6730957834,3.1801075534"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120903,STE ELISABETH NORD,ROUBAIX,,,Médiathèque,5.0,gratuite,0,0,0,0,0,0,0,Homme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,QUESNOY-SUR-DEULE,,,Médiathèque,5.0,gratuite,18,0,18,0,18,0,0,Femme,
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120503,EPEULE SUD,ROUBAIX,,,Médiathèque,5.0,gratuite,0,0,0,0,0,0,0,Femme,"50.6858555581,3.16493385724"
2020,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120802,MOULIN SUD,ROUBAIX,,,Médiathèque Plus (5 €),4.0,payante,9,5,8,0,8,0,0,Femme,"50.6826474805,3.18437265588"
2020,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120403,HOMMELET SUD,ROUBAIX,,,Médiathèque,4.0,gratuite,4,2,3,0,3,0,0,Femme,"50.6950388086,3.18595896155"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595121201,LINNE - CHEMIN NEUF,ROUBAIX,,,Médiathèque,15.0,gratuite,2,0,2,0,2,0,0,Homme,"50.6769574365,3.18904341528"
2020,prêt + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120301,ENTREPONT - CARTIGNY,ROUBAIX,,,Médiathèque,4.0,gratuite,1,1,1,0,1,0,0,Homme,"50.6977649684,3.19309371103"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,HELLEMMES-LILLE,,,Médiathèque Plus (35 €),3.0,payante,13,0,13,0,13,0,0,Femme,
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120803,POTENNERIE,ROUBAIX,,,Médiathèque,4.0,gratuite,0,0,0,0,0,0,0,Femme,"50.6797344577,3.18141212365"
2020,prêt + étude + postes,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595121301,NOUVEAU ROUBAIX,ROUBAIX,,,Médiathèque,3.0,gratuite,6,5,2,0,2,2,0,Homme,"50.67405232,3.18881428771"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,65 ans et plus,Roubaisien,595120701,BARBIEUX - VAUBAN,ROUBAIX,,,Médiathèque,3.0,gratuite,4,0,4,0,4,0,0,Femme,"50.6795654267,3.16516830273"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Non Roubaisien,,,CROIX,,,Consultation sur place,3.0,gratuite,0,0,0,0,0,0,0,Femme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120503,EPEULE SUD,ROUBAIX,,,Médiathèque,3.0,gratuite,3,0,3,0,3,0,0,Homme,"50.6858555581,3.16493385724"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Roubaisien,595120402,HOMMELET CENTRE,ROUBAIX,,,Consultation sur place,3.0,gratuite,0,0,0,0,0,0,0,Femme,"50.698098803,3.18251403697"
2020,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Roubaisien,595120303,CUL DE FOUR,ROUBAIX,,,Médiathèque,3.0,gratuite,6,6,0,0,0,0,0,Homme,"50.7041944438,3.17620611328"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Non Roubaisien,,,WASQUEHAL,,,Médiathèque Plus (Conservatoire),3.0,payante,8,0,8,0,8,0,0,Femme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120602,NATIONS UNIES,ROUBAIX,,,Médiathèque,3.0,gratuite,3,0,3,0,3,0,0,Femme,"50.6939680957,3.17350204159"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120701,BARBIEUX - VAUBAN,ROUBAIX,,,Médiathèque,3.0,gratuite,2,0,2,0,2,0,0,Femme,"50.6795654267,3.16516830273"
2020,prêt + étude + postes + wifi,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Utilisateur Salle d'étude,Utilisateur postes informatiques,Utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595121102,TROIS PONTS SUD,ROUBAIX,,,Médiathèque,3.0,gratuite,19,5,13,0,13,2,2,Femme,"50.6838448476,3.20182368985"
2020,postes + wifi,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Utilisateur Wifi,15 ans et plus,15 - 24 ans,Non Roubaisien,,,LEERS,,,Médiathèque,3.0,gratuite,6,6,0,0,0,0,4,Homme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120202,ALMA SUD,ROUBAIX,,,Médiathèque Plus (5 €),3.0,payante,3,0,3,0,3,0,0,Femme,"50.7002213045,3.1681608643"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120202,ALMA SUD,ROUBAIX,,,Médiathèque,3.0,gratuite,5,0,5,0,5,0,0,Femme,"50.7002213045,3.1681608643"
2020,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,TOURCOING,,,Médiathèque,3.0,gratuite,5,5,0,0,0,0,0,Homme,
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Non Roubaisien,,,MEUDON,,,Consultation sur place,3.0,gratuite,0,0,0,0,0,0,0,Homme,
